timestamp,accelerometer,accel_x,accel_y,accel_z,gyroscope,gyro_x,gyro_y,gyro_z,magnetometer,magnet_x,magnet_y,magnet_z
790906.4053,3,-0.346,-0.175,10.135,4,0,0,0,5,-5.884,-0.323,-8.708
790906.4629,3,-0.351,-0.175,10.14,4,0,0,0,5,-5.515,1.21,-7.489
790906.5205,3,-0.354,-0.177,10.138,4,0,0,0,5,-6.432,0.313,-7.536
790906.5781,3,-0.356,-0.177,10.138,4,0,0,0,5,-6.511,0.07,-7.074
790906.6358,3,-0.35,-0.178,10.138,4,0,0.001,0,5,-6.142,0.78,-9.023
790906.6934,3,-0.354,-0.18,10.137,4,0,0,0,,,,
790906.751,3,-0.354,-0.177,10.137,4,0,0,0,5,-5.901,1.93,-8.017
790906.8086,3,-0.356,-0.179,10.137,4,0,0,0,5,-5.824,1.659,-7.01
790906.8663,3,-0.356,-0.179,10.136,4,0,0,0,5,-6.895,0.795,-8.299
790906.9239,3,-0.353,-0.177,10.138,4,0,0,0,5,-5.724,0.934,-7.652
790906.9815,3,-0.35,-0.178,10.139,4,0,0,0,5,-6.889,1.985,-8.478
790907.0391,3,-0.351,-0.18,10.142,4,0,0,0,5,-6.018,0.97,-7.497
790907.0967,3,-0.352,-0.177,10.138,4,0,0,0,,,,
790907.1544,3,-0.358,-0.178,10.137,4,0,0,0,5,-6.615,0.414,-8.189
790907.212,3,-0.353,-0.173,10.137,4,0,0,0,5,-7.179,1.096,-9.242
790907.2696,3,-0.355,-0.175,10.143,4,0,0,0,5,-6.56,2.979,-8.231
790907.3272,3,-0.354,-0.178,10.143,4,0,0,0,5,-5.611,0.923,-9.061
790907.3849,3,-0.35,-0.175,10.134,4,0,0,0,5,-6.833,0.858,-9.009
790907.4425,3,-0.354,-0.179,10.135,4,0,0,0,5,-6.902,1.064,-8.789
790907.5001,3,-0.355,-0.176,10.137,4,0,0,0,,,,
790907.5577,3,-0.357,-0.177,10.136,4,0,0,0,5,-6.389,0.688,-8.971
790907.6154,3,-0.354,-0.173,10.134,4,0,0,0,5,-5.962,1.99,-7.747
