timestamp,accelerometer,x,y,z,gyro,x,y,z,,,,,,,,,,,
622236.7573,3,-0.305,-0.144,10.066,4,0,0,0,5,-10.289,12.325,-6.769,,,,,,,
622236.8149,3,-0.301,-0.143,10.064,4,0,0,0,,,,,,,,,,,
622236.8726,3,-0.305,-0.142,10.068,4,0,0,0,5,-10.693,11.894,-7.623,,,,,,,
622236.9302,3,-0.309,-0.14,10.071,4,0,0,0,5,-10.495,12.897,-7.648,,,,,,,
622236.9878,3,-0.301,-0.141,10.063,4,0,0,0,5,-10.992,13.815,-6.763,,,,,,,
622237.0454,3,-0.305,-0.142,10.061,4,0,0,0,,,,,,,,,,,
622237.1031,3,-0.298,-0.143,10.065,4,0,0,0,5,-10.6,12.265,-7.324,,,,,,,
622237.1607,3,-0.301,-0.143,10.076,4,0,0,0,5,-11.182,13.396,-8.104,,,,,,,
622237.2183,3,-0.306,-0.141,10.067,4,0.001,0.001,0,,,,,,,,,,,
622237.276,3,-0.312,-0.144,10.066,4,0,0.001,0.001,5,-9.608,11.221,-5.78,,,,,,,
622237.3336,3,-0.301,-0.141,10.063,4,0.001,0,0,5,-10.011,11.844,-5.783,,,,,,,
622237.3912,3,-0.302,-0.145,10.066,4,0,0.001,0,5,-11.238,12.245,-6.512,,,,,,,
622237.4488,3,-0.307,-0.144,10.059,4,0,0,0,,,,,,,,,,,
622237.5065,3,-0.304,-0.144,10.066,4,0,0,0,5,-10.472,11.461,-5.307,,,,,,,
622237.5641,3,-0.31,-0.142,10.063,4,0,0,0,5,-10.239,12.57,-7.03,,,,,,,
622237.6217,3,-0.301,-0.144,10.067,4,0,0,0,,,,,,,,,,,
622237.6794,3,-0.3,-0.14,10.064,4,0,0,0,5,-11.015,12.708,-6.59,,,,,,,
622237.737,3,-0.304,-0.142,10.062,4,0,0,0,5,-10.368,13.753,-5.586,,,,,,,
622237.7946,3,-0.308,-0.14,10.065,4,0,0,0.001,5,-10.185,13.15,-5.116,,,,,,,
622237.8523,3,-0.302,-0.14,10.067,4,0,0,0,,,,,,,,,,,
622237.9099,3,-0.304,-0.14,10.065,4,0,0,0,5,-9.871,10.916,-5.797,,,,,,,
622237.9675,3,-0.303,-0.141,10.068,4,0,0,0,5,-9.656,11.353,-6.877,,,,,,,
622238.0251,3,-0.305,-0.141,10.063,4,0,0,0,,,,,,,,,,,
622238.0828,3,-0.306,-0.144,10.067,4,0,0,0,5,-10.35,12.917,-7.956,,,,,,,
622238.1404,3,-0.304,-0.144,10.063,4,0,0,0,5,-11.131,14.134,-7.43,,,,,,,
622238.198,3,-0.303,-0.139,10.067,4,0,0,0,5,-10.587,13.428,-7.985,,,,,,,
622238.2557,3,-0.303,-0.142,10.06,4,0,0,0,,,,,,,,,,,
622238.3133,3,-0.301,-0.14,10.063,4,0,0,0,5,-9.824,12.817,-5.67,,,,,,,
622238.3709,3,-0.305,-0.144,10.067,4,0,0,0,5,-11.342,12.665,-7.082,,,,,,,
622238.4285,3,-0.303,-0.14,10.067,4,0,0,0,,,,,,,,,,,
