timestamp,accelerometer,x,y,z,gyro,x,y,z,,average accelerometer,,,average gyro,
602031.701,3,-0.211,-0.067,10.088,4,0.001,0,-0.001,,,,,,
602031.7034,3,-0.215,-0.069,10.088,4,0.001,0,0.001,,,,,,
602031.7058,3,-0.196,-0.069,10.098,4,0,0,0.001,,,,,,
602031.7082,3,-0.218,-0.069,10.067,4,0,0.001,0.001,,,,,,
602031.7106,3,-0.213,-0.074,10.102,4,0,0.001,0,,,,,,
602031.713,3,-0.232,-0.077,10.112,4,0.001,0.001,0,,,,,,
602031.7154,3,-0.223,-0.084,10.114,4,0,0.001,-0.001,,,,,,
602031.7178,3,-0.23,-0.06,10.098,4,0.002,0,-0.001,,,,,,
602031.7202,3,-0.208,-0.079,10.119,4,0.002,0.001,0.001,,,,,,
602031.7226,3,-0.208,-0.084,10.114,4,0,0,0.001,,,,,,
602031.725,3,-0.223,-0.072,10.107,4,0,0,0,,,,,,
602031.7274,3,-0.201,-0.072,10.105,4,0,0.001,0.001,,,,,,
602031.7298,3,-0.213,-0.065,10.112,4,0,0.001,0.002,,,,,,
602031.7322,3,-0.215,-0.055,10.098,4,0,0,0,,,,,,
602031.7346,3,-0.218,-0.072,10.086,4,-0.002,0.001,-0.001,,,,,,
602031.737,3,-0.225,-0.093,10.102,4,-0.001,0.002,0,,,,,,
602031.7394,3,-0.223,-0.065,10.114,4,0.001,0,0.001,,,,,,
602031.7418,3,-0.206,-0.065,10.107,4,0,0,0,,,,,,
602031.7442,3,-0.215,-0.072,10.117,4,-0.001,-0.001,0,,,,,,
602031.7466,3,-0.22,-0.093,10.086,4,-0.001,0,-0.001,,,,,,
602031.749,3,-0.206,-0.067,10.105,4,0.003,-0.002,-0.001,,,,,,
602031.7514,3,-0.201,-0.093,10.091,4,0.002,-0.002,-0.001,,,,,,
602031.7538,3,-0.196,-0.06,10.102,4,0,0,-0.002,,,,,,
602031.7562,3,-0.213,-0.074,10.107,4,0,0.001,0.001,,,,,,
602031.7586,3,-0.203,-0.077,10.107,4,0,0.001,-0.001,,,,,,
602031.761,3,-0.208,-0.081,10.107,4,0.001,0,0,,,,,,
602031.7634,3,-0.227,-0.077,10.1,4,0,0.001,0.001,,,,,,
602031.7658,3,-0.206,-0.069,10.083,4,0,-0.001,0.001,,,,,,
602031.7682,3,-0.215,-0.067,10.102,4,0.001,0.001,0.001,,,,,,
602031.7706,3,-0.23,-0.06,10.112,4,0.002,0.001,0,,,,,,
602031.773,3,-0.237,-0.062,10.122,4,0.001,0.001,0,,,,,,
602031.7754,3,-0.213,-0.067,10.114,4,0,0.001,-0.001,,,,,,
602031.7778,3,-0.23,-0.06,10.102,4,-0.001,0,-0.001,,,,,,
602031.7802,3,-0.211,-0.072,10.1,4,0.001,0.002,0,,,,,,
602031.7826,3,-0.223,-0.072,10.1,4,0,0.001,0,,,,,,
602031.785,3,-0.213,-0.062,10.102,4,0.001,0.001,0.001,,,,,,
602031.7874,3,-0.213,-0.081,10.107,4,0,0,-0.001,,,,,,
602031.7898,3,-0.211,-0.069,10.1,4,0,0,0,,,,,,
602031.7922,3,-0.23,-0.072,10.122,4,0,0,-0.001,,,,,,
602031.7946,3,-0.208,-0.072,10.107,4,0,0,0,,,,,,
602031.797,3,-0.203,-0.086,10.093,4,0.001,0.001,0.001,,,,,,
602031.7994,3,-0.215,-0.072,10.117,4,0.001,0,-0.001,,,,,,
602031.8018,3,-0.203,-0.074,10.1,4,0,-0.001,-0.001,,,,,,
602031.8042,3,-0.211,-0.084,10.11,4,-0.002,0,-0.001,,,,,,
602031.8066,3,-0.213,-0.089,10.112,4,0,0.001,-0.001,,,,,,
602031.809,3,-0.208,-0.081,10.112,4,0,0,-0.001,,,,,,
602031.8114,3,-0.225,-0.089,10.107,4,0,0,0,,,,,,
602031.8138,3,-0.218,-0.062,10.138,4,0,-0.001,-0.001,,,,,,
602031.8162,3,-0.206,-0.069,10.11,4,0.001,0,0.001,,,,,,
602031.8186,3,-0.213,-0.055,10.1,4,-0.001,0,0.001,,,,,,
602031.821,3,-0.206,-0.077,10.105,4,0,-0.001,0.001,,,,,,
602031.8234,3,-0.201,-0.057,10.105,4,0,0,-0.001,,,,,,
602031.8258,3,-0.22,-0.072,10.102,4,-0.001,0,-0.001,,,,,,
602031.8282,3,-0.213,-0.06,10.114,4,0,0.002,0,,,,,,
602031.8306,3,-0.218,-0.081,10.102,4,0.001,-0.001,-0.001,,,,,,
602031.833,3,-0.199,-0.079,10.122,4,0,0,0,,,,,,
602031.8354,3,-0.223,-0.077,10.1,4,0,0,0.001,,,,,,
602031.8378,3,-0.196,-0.065,10.098,4,0.001,0.001,-0.001,,,,,,
602031.8402,3,-0.211,-0.053,10.105,4,-0.001,0,0,,,,,,
602031.8426,3,-0.215,-0.086,10.107,4,0,0.001,0.001,,,,,,
602031.845,3,-0.208,-0.081,10.105,4,-0.001,0.001,0.001,,,,,,
602031.8474,3,-0.194,-0.091,10.095,4,0,0,-0.001,,,,,,
602031.8498,3,-0.22,-0.081,10.112,4,-0.001,0,-0.001,,,,,,
602031.8522,3,-0.199,-0.089,10.107,4,0.002,0.001,0,,,,,,
602031.8546,3,-0.199,-0.086,10.107,4,0,0,0.001,,,,,,
602031.857,3,-0.191,-0.074,10.088,4,0,0.001,0,,,,,,
602031.8594,3,-0.194,-0.053,10.083,4,-0.001,0.001,0,,,,,,
602031.8618,3,-0.206,-0.079,10.095,4,0,0,-0.001,,,,,,
602031.8642,3,-0.213,-0.079,10.114,4,0,0.001,0,,,,,,
602031.8666,3,-0.201,-0.057,10.1,4,0,0,0.002,,,,,,
602031.869,3,-0.203,-0.072,10.102,4,0,0.001,-0.001,,,,,,
602031.8714,3,-0.211,-0.062,10.11,4,0.001,0.001,0,,,,,,
602031.8738,3,-0.234,-0.057,10.107,4,-0.001,0.001,0,,,,,,
